Date,Category,Vendor,Amount,Notes
2025-08-12,Travel,AWS,1695.66,
2025-12-01,Travel,Office Depot,169.27,Paid
2025-11-10,Hardware,Restaurant Group,434.55,Paid
2025-03-06,Software,Restaurant Group,1490.13,Reimbursable
2025-07-02,Supplies,TechTrain Inc,536.93,Reimbursable
2025-05-21,Hardware,Restaurant Group,907.71,Reimbursable
2025-08-05,Supplies,Restaurant Group,573.78,
2025-02-02,Travel,Acme Corp,110.76,Reimbursable
2025-08-09,Travel,Acme Corp,625.16,Reimbursable
2025-03-16,Training,TechTrain Inc,545.21,Paid
2025-05-09,Hardware,TechTrain Inc,92.16,
2025-12-24,Training,Restaurant Group,1026.26,Paid
2025-11-10,Supplies,Office Depot,321.98,Pending
2025-03-10,Meals,Acme Corp,193.74,
2025-08-21,Meals,TechTrain Inc,2018.24,Reimbursable
2025-03-07,Meals,Acme Corp,90.0,Reimbursable
2025-10-27,Meals,AWS,1562.06,Pending
2025-02-05,Meals,AWS,909.7,Pending
2025-09-03,Training,AWS,1619.52,Pending
2025-12-15,Supplies,TechTrain Inc,887.91,Reimbursable
2025-01-01,Training,Acme Corp,1596.69,
2025-10-21,Travel,AWS,2151.93,
2025-10-28,Meals,Office Depot,1613.27,Pending
2025-12-20,Meals,Restaurant Group,215.37,Paid
2025-04-16,Supplies,AWS,2124.68,Paid
2025-10-04,Software,TechTrain Inc,1499.85,Pending
2025-01-18,Training,Restaurant Group,1987.6,Reimbursable
2025-01-28,Software,TechTrain Inc,714.8,Reimbursable
2025-03-01,Meals,TechTrain Inc,1481.57,Reimbursable
2025-01-26,Hardware,Acme Corp,2173.24,Pending
2025-08-11,Travel,AWS,1761.04,
2025-07-27,Travel,AWS,860.86,
2025-07-20,Supplies,AWS,84.04,Reimbursable
2025-11-19,Training,AWS,747.47,Reimbursable
2025-11-02,Hardware,AWS,1633.08,
2025-01-03,Hardware,TechTrain Inc,2211.68,Reimbursable
2025-07-03,Meals,AWS,2026.86,Pending
2025-09-12,Supplies,Acme Corp,355.36,Reimbursable
2025-12-13,Software,AWS,639.31,Reimbursable
2025-02-15,Software,Office Depot,420.39,Pending
2025-02-02,Training,Acme Corp,82.48,Reimbursable
2025-02-11,Hardware,TechTrain Inc,746.56,Pending
2025-04-16,Meals,AWS,852.35,Pending
2025-01-02,Hardware,Office Depot,1858.0,Pending
2025-11-03,Supplies,Restaurant Group,1346.61,Pending
2025-11-22,Meals,TechTrain Inc,2287.48,
2025-04-17,Travel,Restaurant Group,287.28,Pending
2025-07-09,Training,AWS,1791.46,Paid
2025-09-13,Hardware,Acme Corp,2100.43,Pending
2025-02-06,Supplies,Restaurant Group,655.84,Paid
2025-12-24,Hardware,Acme Corp,1526.55,Paid
2025-01-21,Hardware,Acme Corp,245.43,
2025-03-08,Software,Restaurant Group,884.29,
2025-06-16,Software,AWS,2249.12,Pending
2025-04-19,Travel,TechTrain Inc,1465.71,
2025-08-08,Meals,Acme Corp,1105.72,Reimbursable
